Lan,Datum,Uppskattning,Low_CI,High_CI
Västernorrland,2020-10-30,0.23,0.02,1.4
Kalmar,2020-10-30,0.21,0.01,1.47
Dalarna,2020-10-30,0.4,0.08,1.57
Uppsala,2020-10-30,0.4,0.19,0.81
Västra Götaland,2020-10-30,0.4,0.26,0.61
Halland,2020-10-30,0.4,0.12,1.13
Blekinge,2020-10-30,0.28,0.03,1.49
Örebro,2020-10-30,0.44,0.07,1.66
Östergötland,2020-10-30,0.5,0.17,1.26
Gävleborg,2020-10-30,0.31,0.04,1.37
Jämtland,2020-10-30,0.26,0.01,2.04
Kronoberg,2020-10-30,0.4,0.09,1.6
Norrbotten,2020-10-30,0.5,0.09,1.93
Västmanland,2020-10-30,0.37,0.07,1.46
Södermanland,2020-10-30,0.32,0.04,1.63
Västerbotten,2020-10-30,0.22,0.03,1.12
Värmland,2020-10-30,0.26,0.04,1.11
Gotland,2020-10-30,0.51,0.01,4.96
Skåne,2020-10-31,0.39,0.28,0.56
Stockholm,2020-10-31,0.55,0.4,0.76
Jönköping,2020-10-31,0.41,0.1,1.28
Västernorrland,2020-10-31,0.23,0.01,1.43
Kalmar,2020-10-31,0.21,0.01,1.42
Dalarna,2020-10-31,0.37,0.07,1.52
Uppsala,2020-10-31,0.4,0.19,0.79
Västra Götaland,2020-10-31,0.39,0.26,0.6
Halland,2020-10-31,0.43,0.13,1.2
Blekinge,2020-10-31,0.24,0.02,1.43
Örebro,2020-10-31,0.52,0.1,1.75
Östergötland,2020-10-31,0.43,0.13,1.15
Gävleborg,2020-10-31,0.34,0.05,1.39
Jämtland,2020-10-31,0.26,0.01,1.99
Kronoberg,2020-10-31,0.36,0.08,1.53
Västmanland,2020-10-31,0.39,0.09,1.47
Södermanland,2020-10-31,0.3,0.04,1.58
Västerbotten,2020-10-31,0.24,0.03,1.17
Värmland,2020-10-31,0.32,0.07,1.19
Gotland,2020-10-31,0.43,0.01,4.65
Norrbotten,2020-10-31,0.56,0.1,2.04
Skåne,2020-11-01,0.39,0.27,0.55
Stockholm,2020-11-01,0.59,0.43,0.8
Jönköping,2020-11-01,0.39,0.09,1.24
Västernorrland,2020-11-01,0.21,0.01,1.39
Dalarna,2020-11-01,0.46,0.11,1.64
Uppsala,2020-11-01,0.42,0.21,0.81
Västra Götaland,2020-11-01,0.39,0.26,0.6
Halland,2020-11-01,0.47,0.14,1.26
Blekinge,2020-11-01,0.29,0.03,1.49
Västmanland,2020-11-01,0.44,0.1,1.54
Örebro,2020-11-01,0.71,0.19,2
Östergötland,2020-11-01,0.44,0.14,1.15
Gävleborg,2020-11-01,0.31,0.05,1.31
Kalmar,2020-11-01,0.22,0.02,1.52
Jämtland,2020-11-01,0.27,0.01,2.07
Kronoberg,2020-11-01,0.42,0.1,1.69
Södermanland,2020-11-01,0.31,0.05,1.49
Västerbotten,2020-11-01,0.25,0.03,1.23
Värmland,2020-11-01,0.39,0.1,1.28
Norrbotten,2020-11-01,0.52,0.08,2.05
Gotland,2020-11-01,0.38,0,4.79
Skåne,2020-11-02,0.42,0.3,0.59
Stockholm,2020-11-02,0.62,0.46,0.84
Jönköping,2020-11-02,0.38,0.09,1.24
Västernorrland,2020-11-02,0.23,0.02,1.37
Dalarna,2020-11-02,0.47,0.11,1.66
Uppsala,2020-11-02,0.5,0.26,0.9
Västra Götaland,2020-11-02,0.41,0.27,0.62
Halland,2020-11-02,0.51,0.17,1.31
Blekinge,2020-11-02,0.33,0.04,1.5
Västmanland,2020-11-02,0.45,0.09,1.57
Norrbotten,2020-11-02,0.53,0.1,1.94
Örebro,2020-11-02,0.74,0.21,2.02
Östergötland,2020-11-02,0.53,0.18,1.28
Gävleborg,2020-11-02,0.36,0.07,1.37
Kalmar,2020-11-02,0.22,0.02,1.54
Jämtland,2020-11-02,0.24,0.01,1.97
Kronoberg,2020-11-02,0.58,0.17,1.87
Södermanland,2020-11-02,0.35,0.06,1.55
Västerbotten,2020-11-02,0.29,0.05,1.28
Värmland,2020-11-02,0.43,0.12,1.36
Gotland,2020-11-02,0.37,0.01,4.73
Skåne,2020-11-03,0.42,0.3,0.59
Stockholm,2020-11-03,0.66,0.49,0.88
Jönköping,2020-11-03,0.44,0.11,1.31
Västernorrland,2020-11-03,0.3,0.04,1.42
Dalarna,2020-11-03,0.5,0.14,1.69
Uppsala,2020-11-03,0.49,0.26,0.89
Västra Götaland,2020-11-03,0.42,0.28,0.63
Halland,2020-11-03,0.57,0.2,1.39
Blekinge,2020-11-03,0.29,0.04,1.44
Västmanland,2020-11-03,0.5,0.13,1.62
Norrbotten,2020-11-03,0.55,0.11,1.95
Örebro,2020-11-03,0.82,0.25,2.15
Östergötland,2020-11-03,0.59,0.22,1.35
Gävleborg,2020-11-03,0.33,0.07,1.32
Kalmar,2020-11-03,0.24,0.02,1.55
Jämtland,2020-11-03,0.28,0.01,1.98
Kronoberg,2020-11-03,0.57,0.16,1.83
Södermanland,2020-11-03,0.4,0.08,1.62
Västerbotten,2020-11-03,0.3,0.05,1.29
Värmland,2020-11-03,0.46,0.14,1.4
Gotland,2020-11-03,0.45,0.01,4.69
Skåne,2020-11-04,0.44,0.31,0.61
Stockholm,2020-11-04,0.67,0.5,0.89
Jönköping,2020-11-04,0.52,0.15,1.45
Västernorrland,2020-11-04,0.31,0.04,1.48
Dalarna,2020-11-04,0.56,0.19,1.73
Uppsala,2020-11-04,0.51,0.28,0.9
Västra Götaland,2020-11-04,0.49,0.33,0.71
Halland,2020-11-04,0.52,0.17,1.32
Blekinge,2020-11-04,0.28,0.03,1.44
Västmanland,2020-11-04,0.58,0.17,1.72
Norrbotten,2020-11-04,0.63,0.15,2.06
Örebro,2020-11-04,0.63,0.17,1.85
Östergötland,2020-11-04,0.59,0.22,1.34
Gävleborg,2020-11-04,0.4,0.1,1.42
Kalmar,2020-11-04,0.37,0.06,1.68
Jämtland,2020-11-04,0.28,0.02,1.98
Kronoberg,2020-11-04,0.59,0.17,1.85
Södermanland,2020-11-04,0.47,0.11,1.75
Västerbotten,2020-11-04,0.27,0.04,1.29
Värmland,2020-11-04,0.51,0.16,1.43
Gotland,2020-11-04,0.41,0.01,4.81
Skåne,2020-11-05,0.43,0.31,0.6
Stockholm,2020-11-05,0.7,0.53,0.92
Jönköping,2020-11-05,0.5,0.15,1.37
Västernorrland,2020-11-05,0.29,0.03,1.46
Dalarna,2020-11-05,0.53,0.16,1.69
Uppsala,2020-11-05,0.53,0.29,0.92
Västra Götaland,2020-11-05,0.49,0.34,0.72
Halland,2020-11-05,0.43,0.13,1.2
Blekinge,2020-11-05,0.26,0.02,1.44
Västmanland,2020-11-05,0.7,0.21,1.95
Norrbotten,2020-11-05,0.61,0.14,2.05
Örebro,2020-11-05,0.66,0.18,1.9
Östergötland,2020-11-05,0.53,0.21,1.24
Gävleborg,2020-11-05,0.43,0.11,1.47
Kalmar,2020-11-05,0.39,0.06,1.77
Jämtland,2020-11-05,0.29,0.02,2.06
Kronoberg,2020-11-05,0.54,0.12,1.83
Västerbotten,2020-11-05,0.26,0.04,1.26
Södermanland,2020-11-05,0.49,0.12,1.77
Värmland,2020-11-05,0.5,0.16,1.4
Gotland,2020-11-05,0.56,0.01,5.05
Skåne,2020-11-06,0.43,0.31,0.6
Stockholm,2020-11-06,0.71,0.54,0.93
Jönköping,2020-11-06,0.6,0.19,1.54
Västernorrland,2020-11-06,0.32,0.04,1.51
Dalarna,2020-11-06,0.54,0.17,1.69
Uppsala,2020-11-06,0.53,0.29,0.92
Västra Götaland,2020-11-06,0.5,0.35,0.73
Halland,2020-11-06,0.48,0.16,1.26
Blekinge,2020-11-06,0.3,0.03,1.51
Västmanland,2020-11-06,0.62,0.17,1.88
Norrbotten,2020-11-06,0.6,0.12,2.1
Örebro,2020-11-06,0.73,0.21,2.01
Östergötland,2020-11-06,0.56,0.22,1.28
Gävleborg,2020-11-06,0.57,0.16,1.7
Kalmar,2020-11-06,0.36,0.05,1.69
Jämtland,2020-11-06,0.37,0.04,2.1
Kronoberg,2020-11-06,0.61,0.17,1.88
Västerbotten,2020-11-06,0.28,0.05,1.27
Södermanland,2020-11-06,0.56,0.14,1.89
Värmland,2020-11-06,0.49,0.14,1.41
Gotland,2020-11-06,0.56,0.03,4.77
Skåne,2020-11-07,0.42,0.3,0.58
Stockholm,2020-11-07,0.72,0.54,0.94
Jönköping,2020-11-07,0.65,0.23,1.59
Västernorrland,2020-11-07,0.3,0.03,1.48
Dalarna,2020-11-07,0.57,0.19,1.74
Uppsala,2020-11-07,0.58,0.33,0.98
Västra Götaland,2020-11-07,0.49,0.33,0.71
Halland,2020-11-07,0.5,0.17,1.29
Blekinge,2020-11-07,0.29,0.02,1.48
Västmanland,2020-11-07,0.73,0.21,2.06
Norrbotten,2020-11-07,0.58,0.11,2.08
Örebro,2020-11-07,0.72,0.2,2.01
Östergötland,2020-11-07,0.64,0.26,1.41
Gävleborg,2020-11-07,0.63,0.19,1.81
Kalmar,2020-11-07,0.33,0.04,1.68
Jämtland,2020-11-07,0.35,0.03,2.08
Kronoberg,2020-11-07,0.68,0.2,1.98
Västerbotten,2020-11-07,0.3,0.05,1.3
Södermanland,2020-11-07,0.59,0.15,1.95
Värmland,2020-11-07,0.45,0.14,1.34
Gotland,2020-11-07,0.49,0.02,5.11
Skåne,2020-11-08,0.39,0.27,0.55
Stockholm,2020-11-08,0.7,0.53,0.92
Jönköping,2020-11-08,0.68,0.25,1.62
Västernorrland,2020-11-08,0.39,0.07,1.59
Dalarna,2020-11-08,0.58,0.19,1.76
Uppsala,2020-11-08,0.55,0.31,0.94
Västra Götaland,2020-11-08,0.48,0.33,0.71
Halland,2020-11-08,0.56,0.2,1.38
Blekinge,2020-11-08,0.27,0.02,1.5
Norrbotten,2020-11-08,0.54,0.09,2.08
Örebro,2020-11-08,0.69,0.19,1.95
Östergötland,2020-11-08,0.61,0.25,1.37
Gävleborg,2020-11-08,0.64,0.19,1.85
Kalmar,2020-11-08,0.29,0.03,1.66
Jämtland,2020-11-08,0.37,0.04,2.16
Kronoberg,2020-11-08,0.64,0.17,1.91
Västerbotten,2020-11-08,0.27,0.04,1.24
Västmanland,2020-11-08,0.77,0.23,2.15
Södermanland,2020-11-08,0.51,0.13,1.8
Värmland,2020-11-08,0.45,0.13,1.32
Gotland,2020-11-08,0.47,0.01,5.08
Skåne,2020-11-09,0.41,0.29,0.58
Stockholm,2020-11-09,0.68,0.51,0.89
Jönköping,2020-11-09,0.74,0.28,1.72
Västernorrland,2020-11-09,0.38,0.06,1.62
Dalarna,2020-11-09,0.57,0.19,1.71
Uppsala,2020-11-09,0.54,0.31,0.93
Västra Götaland,2020-11-09,0.49,0.34,0.72
Halland,2020-11-09,0.54,0.2,1.33
Blekinge,2020-11-09,0.35,0.04,1.61
Norrbotten,2020-11-09,0.52,0.07,2.07
Örebro,2020-11-09,0.64,0.16,1.9
Östergötland,2020-11-09,0.67,0.27,1.46
Gävleborg,2020-11-09,0.66,0.2,1.89
Kalmar,2020-11-09,0.49,0.07,1.95
Jämtland,2020-11-09,0.41,0.05,2.14
Södermanland,2020-11-09,0.53,0.14,1.79
Kronoberg,2020-11-09,0.65,0.19,1.9
Västerbotten,2020-11-09,0.27,0.05,1.22
Västmanland,2020-11-09,0.77,0.23,2.16
Värmland,2020-11-09,0.48,0.15,1.37
Gotland,2020-11-09,0.49,0.01,5.63
Skåne,2020-11-10,0.41,0.29,0.57
Stockholm,2020-11-10,0.67,0.51,0.89
Jönköping,2020-11-10,0.7,0.26,1.65
Västernorrland,2020-11-10,0.38,0.06,1.65
Dalarna,2020-11-10,0.61,0.21,1.79
Uppsala,2020-11-10,0.57,0.33,0.96
Västra Götaland,2020-11-10,0.51,0.35,0.74
Halland,2020-11-10,0.53,0.19,1.32
Blekinge,2020-11-10,0.33,0.04,1.58
Norrbotten,2020-11-10,0.5,0.06,2.04
Örebro,2020-11-10,0.62,0.16,1.87
Östergötland,2020-11-10,0.69,0.29,1.49
Gävleborg,2020-11-10,0.57,0.16,1.76
Kalmar,2020-11-10,0.51,0.08,1.98
Jämtland,2020-11-10,0.42,0.05,2.21
Södermanland,2020-11-10,0.47,0.12,1.69
Kronoberg,2020-11-10,0.63,0.18,1.88
Västerbotten,2020-11-10,0.3,0.05,1.29
Västmanland,2020-11-10,0.68,0.19,1.99
Värmland,2020-11-10,0.46,0.14,1.34
Gotland,2020-11-10,0.55,0.02,5.42
Skåne,2020-11-11,0.43,0.31,0.6
Stockholm,2020-11-11,0.69,0.52,0.91
Jönköping,2020-11-11,0.67,0.24,1.62
Västernorrland,2020-11-11,0.46,0.1,1.72
Dalarna,2020-11-11,0.71,0.24,1.96
Uppsala,2020-11-11,0.56,0.31,0.95
Västra Götaland,2020-11-11,0.5,0.34,0.72
Halland,2020-11-11,0.53,0.19,1.31
Blekinge,2020-11-11,0.42,0.06,1.69
Norrbotten,2020-11-11,0.41,0.04,1.91
Örebro,2020-11-11,0.52,0.12,1.74
Östergötland,2020-11-11,0.7,0.29,1.51
Gävleborg,2020-11-11,0.61,0.17,1.83
Kalmar,2020-11-11,0.44,0.06,1.87
Jämtland,2020-11-11,0.44,0.06,2.18
Södermanland,2020-11-11,0.42,0.1,1.56
Kronoberg,2020-11-11,0.63,0.18,1.82
Västerbotten,2020-11-11,0.35,0.06,1.34
Västmanland,2020-11-11,0.65,0.19,1.91
Värmland,2020-11-11,0.4,0.13,1.21
Gotland,2020-11-11,0.51,0.02,4.94
Skåne,2020-11-12,0.43,0.31,0.6
Stockholm,2020-11-12,0.7,0.53,0.92
Jönköping,2020-11-12,0.6,0.2,1.54
Västernorrland,2020-11-12,0.49,0.1,1.74
Dalarna,2020-11-12,0.65,0.21,1.88
Uppsala,2020-11-12,0.58,0.32,0.99
Västra Götaland,2020-11-12,0.5,0.34,0.72
Halland,2020-11-12,0.51,0.18,1.26
Blekinge,2020-11-12,0.39,0.05,1.64
Örebro,2020-11-12,0.54,0.13,1.75
Östergötland,2020-11-12,0.8,0.36,1.62
Gävleborg,2020-11-12,0.58,0.16,1.77
Kalmar,2020-11-12,0.44,0.05,1.85
Jämtland,2020-11-12,0.38,0.04,2.06
Södermanland,2020-11-12,0.46,0.12,1.61
Kronoberg,2020-11-12,0.62,0.16,1.84
Västerbotten,2020-11-12,0.4,0.09,1.41
Norrbotten,2020-11-12,0.4,0.04,1.91
Västmanland,2020-11-12,0.67,0.2,1.94
Värmland,2020-11-12,0.41,0.13,1.25
Gotland,2020-11-12,0.54,0.03,5.38
Skåne,2020-11-13,0.43,0.31,0.6
Västra Götaland,2020-11-13,0.52,0.36,0.74
Stockholm,2020-11-13,0.71,0.54,0.93
Jönköping,2020-11-13,0.52,0.16,1.42
Västernorrland,2020-11-13,0.5,0.11,1.73
Dalarna,2020-11-13,0.68,0.23,1.93
Uppsala,2020-11-13,0.56,0.31,0.97
Halland,2020-11-13,0.47,0.16,1.23
Blekinge,2020-11-13,0.46,0.07,1.77
Örebro,2020-11-13,0.6,0.15,1.87
Östergötland,2020-11-13,0.78,0.35,1.59
Gävleborg,2020-11-13,0.47,0.12,1.59
Kalmar,2020-11-13,0.33,0.04,1.68
Jämtland,2020-11-13,0.4,0.05,2.06
Södermanland,2020-11-13,0.45,0.11,1.63
Kronoberg,2020-11-13,0.61,0.16,1.85
Västerbotten,2020-11-13,0.35,0.07,1.32
Norrbotten,2020-11-13,0.44,0.06,1.93
Västmanland,2020-11-13,0.68,0.21,1.93
Värmland,2020-11-13,0.47,0.15,1.37
Gotland,2020-11-13,0.52,0.01,5.43
Skåne,2020-11-14,0.42,0.3,0.58
Västra Götaland,2020-11-14,0.5,0.35,0.72
Stockholm,2020-11-14,0.72,0.55,0.93
Jönköping,2020-11-14,0.53,0.17,1.41
Västernorrland,2020-11-14,0.56,0.14,1.83
Dalarna,2020-11-14,0.64,0.21,1.87
Uppsala,2020-11-14,0.54,0.3,0.93
Halland,2020-11-14,0.49,0.17,1.26
Blekinge,2020-11-14,0.44,0.06,1.71
Örebro,2020-11-14,0.5,0.1,1.71
Östergötland,2020-11-14,0.76,0.34,1.57
Gävleborg,2020-11-14,0.47,0.11,1.58
Kalmar,2020-11-14,0.35,0.04,1.72
Jämtland,2020-11-14,0.4,0.05,2.14
Södermanland,2020-11-14,0.47,0.12,1.69
Kronoberg,2020-11-14,0.56,0.14,1.75
Västerbotten,2020-11-14,0.32,0.06,1.27
Norrbotten,2020-11-14,0.55,0.09,2.12
Västmanland,2020-11-14,0.66,0.21,1.87
Värmland,2020-11-14,0.45,0.14,1.33
Gotland,2020-11-14,0.43,0.01,5.58
Skåne,2020-11-15,0.42,0.3,0.58
Västra Götaland,2020-11-15,0.49,0.34,0.7
Stockholm,2020-11-15,0.71,0.54,0.93
Jönköping,2020-11-15,0.57,0.19,1.46
Västernorrland,2020-11-15,0.49,0.11,1.71
Dalarna,2020-11-15,0.62,0.19,1.87
Uppsala,2020-11-15,0.57,0.32,0.98
Halland,2020-11-15,0.49,0.17,1.26
Blekinge,2020-11-15,0.43,0.06,1.7
Örebro,2020-11-15,0.61,0.15,1.84
Östergötland,2020-11-15,0.75,0.33,1.56
Gävleborg,2020-11-15,0.53,0.15,1.63
Kalmar,2020-11-15,0.41,0.06,1.78
Jämtland,2020-11-15,0.36,0.04,2.15
Södermanland,2020-11-15,0.69,0.21,2.08
Kronoberg,2020-11-15,0.63,0.18,1.83
Västerbotten,2020-11-15,0.34,0.07,1.32
Norrbotten,2020-11-15,0.56,0.1,2.1
Västmanland,2020-11-15,0.71,0.24,1.91
Värmland,2020-11-15,0.49,0.16,1.4
Gotland,2020-11-15,0.45,0.01,5.07
Skåne,2020-11-16,0.44,0.31,0.61
Västra Götaland,2020-11-16,0.48,0.33,0.7
Stockholm,2020-11-16,0.73,0.56,0.96
Jönköping,2020-11-16,0.62,0.23,1.54
Västernorrland,2020-11-16,0.5,0.11,1.75
Dalarna,2020-11-16,0.62,0.19,1.9
Uppsala,2020-11-16,0.55,0.3,0.97
Halland,2020-11-16,0.46,0.15,1.22
Blekinge,2020-11-16,0.31,0.03,1.5
Örebro,2020-11-16,0.67,0.17,1.96
Östergötland,2020-11-16,0.77,0.34,1.61
Gävleborg,2020-11-16,0.53,0.15,1.65
Kalmar,2020-11-16,0.4,0.06,1.8
Jämtland,2020-11-16,0.42,0.06,2.15
Kronoberg,2020-11-16,0.58,0.15,1.79
Västerbotten,2020-11-16,0.37,0.08,1.37
Norrbotten,2020-11-16,0.62,0.12,2.22
Västmanland,2020-11-16,0.75,0.25,1.99
Södermanland,2020-11-16,0.6,0.18,1.94
Värmland,2020-11-16,0.46,0.14,1.33
Gotland,2020-11-16,0.45,0.01,4.84
Skåne,2020-11-17,0.43,0.31,0.6
Västra Götaland,2020-11-17,0.49,0.34,0.71
Stockholm,2020-11-17,0.74,0.57,0.97
Jönköping,2020-11-17,0.66,0.25,1.58
Västernorrland,2020-11-17,0.52,0.12,1.78
Dalarna,2020-11-17,0.69,0.22,2.01
Uppsala,2020-11-17,0.57,0.32,0.99
Halland,2020-11-17,0.5,0.18,1.28
Blekinge,2020-11-17,0.35,0.04,1.57
Örebro,2020-11-17,0.73,0.19,2.05
Östergötland,2020-11-17,0.74,0.33,1.55
Gävleborg,2020-11-17,0.53,0.15,1.64
Kalmar,2020-11-17,0.5,0.09,1.94
Jämtland,2020-11-17,0.4,0.06,2.16
Kronoberg,2020-11-17,0.51,0.13,1.69
Västerbotten,2020-11-17,0.35,0.08,1.33
Norrbotten,2020-11-17,0.65,0.13,2.3
Västmanland,2020-11-17,0.74,0.26,1.97
Södermanland,2020-11-17,0.68,0.2,2.07
Värmland,2020-11-17,0.49,0.17,1.35
Gotland,2020-11-17,0.49,0.02,5.1
Skåne,2020-11-18,0.45,0.32,0.62
Västra Götaland,2020-11-18,0.5,0.34,0.72
Dalarna,2020-11-18,0.61,0.19,1.92
Stockholm,2020-11-18,0.73,0.55,0.95
Jönköping,2020-11-18,0.64,0.23,1.55
Västernorrland,2020-11-18,0.49,0.11,1.74
Uppsala,2020-11-18,0.59,0.33,1.02
Halland,2020-11-18,0.5,0.18,1.29
Blekinge,2020-11-18,0.35,0.04,1.57
Örebro,2020-11-18,0.79,0.23,2.14
Östergötland,2020-11-18,0.73,0.32,1.55
Gävleborg,2020-11-18,0.59,0.15,1.75
Kalmar,2020-11-18,0.49,0.08,2
Jämtland,2020-11-18,0.47,0.08,2.28
Kronoberg,2020-11-18,0.51,0.12,1.8
Västerbotten,2020-11-18,0.35,0.08,1.34
Norrbotten,2020-11-18,0.67,0.14,2.34
Västmanland,2020-11-18,0.73,0.23,2
Södermanland,2020-11-18,0.71,0.23,2.09
Värmland,2020-11-18,0.48,0.16,1.35
Gotland,2020-11-18,0.37,0,5.23
Skåne,2020-11-19,0.44,0.32,0.62
Västra Götaland,2020-11-19,0.49,0.34,0.72
Dalarna,2020-11-19,0.72,0.26,2.07
Stockholm,2020-11-19,0.72,0.55,0.95
Jönköping,2020-11-19,0.66,0.24,1.6
Västernorrland,2020-11-19,0.52,0.12,1.84
Uppsala,2020-11-19,0.54,0.29,0.96
Halland,2020-11-19,0.46,0.15,1.25
Blekinge,2020-11-19,0.39,0.04,1.7
Örebro,2020-11-19,0.81,0.22,2.27
Östergötland,2020-11-19,0.73,0.32,1.57
Gävleborg,2020-11-19,0.61,0.17,1.79
Kalmar,2020-11-19,0.5,0.08,2.03
Jämtland,2020-11-19,0.49,0.09,2.34
Kronoberg,2020-11-19,0.57,0.12,1.97
Västerbotten,2020-11-19,0.32,0.07,1.36
Västmanland,2020-11-19,0.78,0.24,2.12
Södermanland,2020-11-19,0.56,0.15,1.88
Värmland,2020-11-19,0.46,0.14,1.35
Norrbotten,2020-11-19,0.72,0.15,2.4
Gotland,2020-11-19,0.55,0,5.37
Skåne,2020-11-20,0.43,0.3,0.6
Dalarna,2020-11-20,0.67,0.22,2.1
Stockholm,2020-11-20,0.76,0.58,1
Jönköping,2020-11-20,0.64,0.24,1.58
Västernorrland,2020-11-20,0.64,0.16,1.97
Uppsala,2020-11-20,0.53,0.29,0.95
Västra Götaland,2020-11-20,0.48,0.32,0.71
Halland,2020-11-20,0.51,0.18,1.3
Blekinge,2020-11-20,0.32,0.03,1.68
Örebro,2020-11-20,0.82,0.23,2.3
Östergötland,2020-11-20,0.75,0.32,1.63
Gävleborg,2020-11-20,0.58,0.15,1.79
Kalmar,2020-11-20,0.4,0.06,1.88
Jämtland,2020-11-20,0.51,0.08,2.43
Kronoberg,2020-11-20,0.66,0.16,2.16
Västerbotten,2020-11-20,0.36,0.09,1.43
Norrbotten,2020-11-20,0.74,0.16,2.45
Västmanland,2020-11-20,0.78,0.25,2.12
Södermanland,2020-11-20,0.62,0.18,2
Värmland,2020-11-20,0.45,0.13,1.36
Gotland,2020-11-20,0.51,0,5.59
Skåne,2020-11-21,0.45,0.31,0.65
Dalarna,2020-11-21,0.71,0.22,2.44
Stockholm,2020-11-21,0.74,0.55,0.99
Jönköping,2020-11-21,0.69,0.25,1.81
Västernorrland,2020-11-21,0.69,0.16,2.26
Uppsala,2020-11-21,0.55,0.29,1.02
Halland,2020-11-21,0.6,0.22,1.49
Blekinge,2020-11-21,0.39,0.03,2.03
Västra Götaland,2020-11-21,0.51,0.33,0.77
Örebro,2020-11-21,0.73,0.17,2.4
Östergötland,2020-11-21,0.82,0.33,1.86
Gävleborg,2020-11-21,0.71,0.19,2.18
Kalmar,2020-11-21,0.31,0.03,1.98
Jämtland,2020-11-21,0.54,0.08,2.61
Kronoberg,2020-11-21,0.68,0.14,2.42
Västerbotten,2020-11-21,0.35,0.07,1.62
Norrbotten,2020-11-21,0.63,0.12,2.6
Västmanland,2020-11-21,0.92,0.33,2.35
Södermanland,2020-11-21,0.67,0.19,2.26
Värmland,2020-11-21,0.48,0.14,1.55
Gotland,2020-11-21,,,
Skåne,2020-11-22,0.49,0.34,0.7
Dalarna,2020-11-22,0.78,0.25,2.72
Stockholm,2020-11-22,0.73,0.54,0.99
Västernorrland,2020-11-22,0.66,0.14,2.3
Uppsala,2020-11-22,0.58,0.31,1.07
Halland,2020-11-22,0.56,0.19,1.48
Blekinge,2020-11-22,0.41,0.02,2.15
Västra Götaland,2020-11-22,0.48,0.31,0.75
Örebro,2020-11-22,0.73,0.17,2.53
Östergötland,2020-11-22,0.84,0.33,1.98
Jönköping,2020-11-22,0.55,0.18,1.61
Kalmar,2020-11-22,0.32,0.03,2.02
Jämtland,2020-11-22,0.44,0.04,2.59
Gävleborg,2020-11-22,0.77,0.2,2.35
Västerbotten,2020-11-22,0.34,0.06,1.68
Norrbotten,2020-11-22,0.8,0.16,3.01
Västmanland,2020-11-22,0.95,0.35,2.42
Södermanland,2020-11-22,0.51,0.1,2.11
Värmland,2020-11-22,0.42,0.11,1.53
Gotland,2020-11-22,,,
Kronoberg,2020-11-22,0.63,0.11,2.43
Skåne,2020-11-23,0.47,0.32,0.69
Dalarna,2020-11-23,0.9,0.27,2.92
Stockholm,2020-11-23,0.76,0.57,1.02
Västernorrland,2020-11-23,0.66,0.15,2.27
Uppsala,2020-11-23,0.6,0.32,1.11
Halland,2020-11-23,0.58,0.2,1.52
Blekinge,2020-11-23,0.48,0.04,2.29
Västra Götaland,2020-11-23,0.5,0.32,0.78
Örebro,2020-11-23,0.73,0.16,2.58
Östergötland,2020-11-23,0.77,0.29,1.9
Jönköping,2020-11-23,0.48,0.14,1.55
Kalmar,2020-11-23,0.32,0.03,2.16
Jämtland,2020-11-23,0.41,0.03,2.62
Gävleborg,2020-11-23,0.8,0.22,2.43
Västerbotten,2020-11-23,0.39,0.05,1.87
Norrbotten,2020-11-23,0.85,0.17,3.06
Västmanland,2020-11-23,0.98,0.35,2.49
Södermanland,2020-11-23,0.5,0.09,2.13
Värmland,2020-11-23,0.43,0.11,1.57
Gotland,2020-11-23,,,
Kronoberg,2020-11-23,0.59,0.09,2.44
Skåne,2020-11-24,0.49,0.33,0.72
Dalarna,2020-11-24,0.95,0.29,2.87
Stockholm,2020-11-24,0.82,0.62,1.09
Västernorrland,2020-11-24,0.71,0.16,2.4
Uppsala,2020-11-24,0.57,0.3,1.06
Västra Götaland,2020-11-24,0.52,0.33,0.82
Halland,2020-11-24,0.48,0.15,1.4
Blekinge,2020-11-24,0.46,0.04,2.2
Örebro,2020-11-24,0.65,0.13,2.48
Östergötland,2020-11-24,0.77,0.29,1.9
Jönköping,2020-11-24,0.52,0.15,1.61
Kalmar,2020-11-24,0.3,0.02,2.21
Jämtland,2020-11-24,0.38,0.02,2.63
Gävleborg,2020-11-24,0.86,0.25,2.51
Västerbotten,2020-11-24,0.32,0.04,1.81
Norrbotten,2020-11-24,0.82,0.15,3.03
Västmanland,2020-11-24,1,0.37,2.54
Södermanland,2020-11-24,0.58,0.13,2.26
Värmland,2020-11-24,0.45,0.13,1.6
Gotland,2020-11-24,,,
Kronoberg,2020-11-24,0.58,0.08,2.44
Skåne,2020-11-25,0.47,0.32,0.69
Dalarna,2020-11-25,0.85,0.26,2.66
Stockholm,2020-11-25,0.82,0.62,1.1
Västernorrland,2020-11-25,0.75,0.17,2.41
Uppsala,2020-11-25,0.61,0.32,1.13
Västra Götaland,2020-11-25,0.48,0.3,0.76
Halland,2020-11-25,0.45,0.12,1.38
Blekinge,2020-11-25,0.4,0.03,2.12
Örebro,2020-11-25,0.78,0.17,2.73
Östergötland,2020-11-25,0.86,0.35,2.04
Jönköping,2020-11-25,0.57,0.18,1.7
Kalmar,2020-11-25,0.26,0.01,2.23
Jämtland,2020-11-25,0.4,0.03,2.75
Kronoberg,2020-11-25,0.68,0.11,2.63
Gävleborg,2020-11-25,0.65,0.17,2.24
Västerbotten,2020-11-25,0.36,0.05,1.91
Norrbotten,2020-11-25,0.92,0.19,3.34
